timestamp,project,script,status,exit_code,exec_time_s,mem_delta_mb,energy_j,notes
2026-01-28T14:28:55+01:00,Iris-Flower-Classification-Codealpha2,original_telemetry.py,SKIPPED,,,82326,,
2026-01-28T14:28:55+01:00,Iris-Flower-Classification-Codealpha2,assisted.py,SKIPPED,,,82326,,
2026-01-28T14:28:55+01:00,Iris-Flower-Classification-Codealpha2,autonomous.py,SKIPPED,,,82326,,
2026-01-28T14:28:55+01:00,Iris-Flower-Classification-Codealpha3,original_telemetry.py,SKIPPED,,,82326,,
2026-01-28T14:28:55+01:00,Iris-Flower-Classification-Codealpha3,assisted.py,SKIPPED,,,82326,,
2026-01-28T14:28:55+01:00,Iris-Flower-Classification-Codealpha3,autonomous.py,SKIPPED,,,82326,,
2026-01-28T14:28:55+01:00,Iris-ML-Lab,original_telemetry.py,SKIPPED,,,82326,,
2026-01-28T14:28:55+01:00,Iris-ML-Lab,assisted.py,SKIPPED,,,82326,,
2026-01-28T14:28:55+01:00,Iris-ML-Lab,autonomous.py,SKIPPED,,,82326,,
2026-01-28T14:28:55+01:00,ML_CSV_Classification,original_telemetry.py,SKIPPED,,,82326,,
2026-01-28T14:28:55+01:00,ML_CSV_Classification,assisted.py,SKIPPED,,,82326,,
2026-01-28T14:28:55+01:00,ML_CSV_Classification,autonomous.py,SKIPPED,,,82326,,
2026-01-28T14:28:55+01:00,Network_Intrusion_Detection_System,original_telemetry.py,SKIPPED,,,82326,,
2026-01-28T14:28:55+01:00,Network_Intrusion_Detection_System,assisted.py,SKIPPED,,,82326,,
2026-01-28T14:28:55+01:00,Network_Intrusion_Detection_System,autonomous.py,SKIPPED,,,82326,,
